record_id,polymer_name,repeat_unit_smiles,polymer_class,tg_value,tg_unit,tg_std,measurement_method,source_id,source_type,doi,extraction_method,notes
rec_zen_00017,,[*]/C(C)=C(/[*])[Ge](C)(C)C,other,523.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=523.15; n_points=1; reliability=black
rec_zen_00073,,[*]=CCCC(=[*])CCCCCCCCCC,other,220.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=220.15; n_points=1; reliability=black
rec_zen_00079,,[*]=CCCCCCCC=[*],other,195.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=195.15; n_points=1; reliability=black
rec_zen_00080,,[*]=CCCCCCCCCCCC=[*],other,220.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=220.15; n_points=1; reliability=black
rec_zen_00087,,[*]=Cc1ccc(C(=[*])c2ccc(C(F)(F)F)cc2)cc1,other,472.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=472.15; n_points=1; reliability=black
rec_zen_00091,,[*]=Cc1ccc(OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,polyether,306.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=306.15; n_points=1; reliability=black
rec_zen_00093,,[*]=Cc1ccc(OCCCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,polyether,358.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=358.15; n_points=1; reliability=black
rec_zen_00095,,[*]=Cc1ccc(OCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,polyether,389.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=389.15; n_points=1; reliability=black
rec_zen_00096,,[*]=Cc1ccc(OCCOCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,polyether,290.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=290.15; n_points=1; reliability=black
rec_zen_00101,,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCC(=[*])C5=O)cc4)cc3)cc2)cc1,polyether,508.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=508.15; n_points=1; reliability=black
rec_zen_00106,,[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCCC5)cc4)cc3)cc2)cc1,polyether,469.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=469.15; n_points=1; reliability=black
rec_zen_00131,,[*]=NP(=NS(=O)(=NP(=[*])(NCCC)NCCC)NCCC)(NCCC)NCCC,other,279.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=279.15; n_points=1; reliability=black
rec_zen_00132,,[*]=NP(=NS(=O)(=NP(=[*])(NCCCC)NCCCC)NCCCC)(NCCCC)NCCCC,other,257.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=257.15; n_points=1; reliability=black
rec_zen_00156,,[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(/N=C5/OC(=O)c6ccc(C(=O)c7ccc8c(c7)C(=[*])OC8=O)cc65)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,polyether,521.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=521.15; n_points=1; reliability=black
rec_zen_00157,,[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N=C5OC(=O)c6cc7c(cc65)C(=[*])OC7=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,polyether,560.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=560.15; n_points=1; reliability=black
rec_zen_00167,,[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,polysiloxane,260.55,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=260.55; n_points=1; reliability=black
rec_zen_00168,,[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,polysiloxane,257.05,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=257.05; n_points=1; reliability=black
rec_zen_00169,,[*]C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,polysiloxane,250.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=250.15; n_points=1; reliability=black
rec_zen_00176,,[*]C#Cc1ccc(C#C[Si](C)(C)O[Si]([*])(C)C)cc1,polysiloxane,399.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=399.15; n_points=1; reliability=black
rec_zen_00177,,[*]C#Cc1cccc(C#C[SiH]([*])C)c1,polysiloxane,345.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=345.15; n_points=1; reliability=black
rec_zen_00179,,[*]C(=C(Cl)Cl)c1ccc(OCOc2ccc([*])cc2)cc1,polyether,381.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=381.15; n_points=1; reliability=black
rec_zen_00185,,[*]C(=O)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)N([*])[Li])C(F)(F)F,polyether,340.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=340.15; n_points=1; reliability=black
rec_zen_00199,,[*]C(=O)NCC1CCC(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)CC1,polyamide,509.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=509.15; n_points=1; reliability=black
rec_zen_00217,,[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCC,polyamide,507.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=507.15; n_points=1; reliability=black
rec_zen_00222,,[*]C(=O)Nc1ccc(-c2ccc(NC(=O)N3CC(C)N([*])CC3C)cc2)cc1,other,523.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=523.15; n_points=1; reliability=black
rec_zen_00228,,[*]C(=O)Nc1ccc(-c2nnc(-c3ccc(NC(=O)c4cc([*])cc(NC(=O)c5ccc(OC(C)=O)cc5)c4)cc3)o2)cc1,polyether,553.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=553.15; n_points=1; reliability=black
rec_zen_00230,,[*]C(=O)Nc1ccc(C(c2ccc(NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,polyamide,557.25,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=557.25; n_points=1; reliability=black
rec_zen_00233,,[*]C(=O)Nc1ccc(C(c2ccc(NC(=O)c3cc([*])cc(NC(=O)CCCN4C(=O)c5ccccc5C4=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,polyamide,513.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=513.15; n_points=1; reliability=black
rec_zen_00239,,[*]C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4cc([*])cc(C(C)(C)C)c4)cc3)c3ccccc3-c3ccccc32)cc1,polyamide,557.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=557.15; n_points=1; reliability=black
rec_zen_00245,,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3cc([*])cc(NC(=O)c4ccc(NC(=O)C(CC(C)C)N5C(=O)c6ccccc6C5=O)cc4)c3)cc2)cc1,polyamide,511.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=511.15; n_points=1; reliability=black
rec_zen_00247,,[*]C(=O)Nc1ccc(Cc2ccc(NC(=O)c3cc([*])cc(NC(=O)c4ccncc4)c3)cc2)cc1,polyamide,575.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=575.15; n_points=1; reliability=black
rec_zen_00251,,[*]C(=O)Nc1ccc(NC(=O)c2cc([*])c(C(=O)O)cc2C(=O)O)cc1,polyamide,556.55,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=556.55; n_points=1; reliability=black
rec_zen_00263,,[*]C(=O)Nc1ccc(Oc2ccc(NC(=O)Nc3ccc(Cc4ccc(NC(=O)Nc5ccc(Oc6ccc(NC(=O)C(CC(C)C)n7c(=O)c8cc9c(=O)n(C([*])CC(C)C)c(=O)c9cc8c7=O)cc6)cc5)cc4)cc3)cc2)cc1,polyimide,454.55,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=454.55; n_points=1; reliability=black
rec_zen_00308,,[*]C(=O)OCCCCCCn1c(=O)c2cc3c(=O)n(CCCCCCOC(=O)c4cc([*])cc(OCCCCCCOc5ccc(/N=N/c6ccc(C#N)cc6)cc5)c4)c(=O)c3cc2c1=O,polyimide,319.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=319.15; n_points=1; reliability=black
rec_zen_00318,,[*]C(=O)OCCOC(=O)c1cc([*])cc(C(C)(C)C)c1,polyester,367.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=367.15; n_points=1; reliability=black
rec_zen_00319,,[*]C(=O)OCCOC(=O)c1ccc(-c2ccc([*])cc2C)c(C)c1,polyester,346.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=346.15; n_points=1; reliability=black
rec_zen_00321,,[*]C(=O)OCCOCCOC(=O)C([*])CCC,polyether,235.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=235.15; n_points=1; reliability=black
rec_zen_00323,,[*]C(=O)OCCOCCOC(=O)C([*])CCCCCCC,polyether,215.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=215.15; n_points=1; reliability=black
rec_zen_00324,,[*]C(=O)OCCOCCOC(=O)C([*])CCCCCCCCC,polyether,214.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=214.15; n_points=1; reliability=black
rec_zen_00332,,[*]C(=O)Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCCC)c([*])cc2OCCCCCCCCCCCC)cc1-c1ccccc1,polyester,369.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=369.15; n_points=1; reliability=black
rec_zen_00334,,[*]C(=O)Oc1ccc(OC(=O)c2ccc([*])cc2Oc2ccc(C(C)(C)c3ccccc3)cc2)cc1,polyester,366.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=366.15; n_points=1; reliability=black
rec_zen_00351,,[*]C(=O)c1c(F)c(F)c(Oc2ccc(C(c3ccc(Oc4c(F)c(F)c([*])c(F)c4F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(F)c1F,polyether,422.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=422.15; n_points=1; reliability=black
rec_zen_00378,,[*]C(=O)c1ccc(C(=O)O)c(C(=O)Nc2ccc(NC(=O)c3cc([*])ccc3C(=O)O)cc2)c1,polyamide,486.35,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=486.35; n_points=1; reliability=black
rec_zen_00381,,[*]C(=O)c1ccc(C(=O)c2ccc(C(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc([*])cc9)cc7)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,polyimide,506.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=506.15; n_points=1; reliability=black
rec_zen_00393,,[*]C(=O)c1ccc(C(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc([*])cc6)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,polyether,516.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=516.15; n_points=1; reliability=black
rec_zen_00401,,[*]C(=O)c1ccc(C(=O)c2ccc(Oc3ccc(Oc4ccc([*])cc4)cc3-c3ccccc3)cc2)cc1,polyether,439.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=439.15; n_points=1; reliability=black
rec_zen_00408,,[*]C(=O)c1ccc(N([*])CCC)cc1,polyamide,409.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=409.15; n_points=1; reliability=black
rec_zen_00425,,[*]C(=O)c1ccc(OCCCCCCOc2ccc(C(=O)N([*])c3cc(C)cc(C)c3)cc2)cc1,polyimide,348.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=348.15; n_points=1; reliability=black
rec_zen_00429,,[*]C(=O)c1ccc(Oc2ccc(-c3c4c(c(-c5ccc(Oc6ccc([*])cc6)cc5)c5ccccc35)C(=O)N(c3ccc(C(F)(F)F)cc3)C4=O)cc2)cc1,polyimide,533.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=533.15; n_points=1; reliability=black
rec_zen_00435,,[*]C(=O)c1ccc(Oc2ccc(-c3c4c(c(-c5ccc(Oc6ccc([*])cc6)cc5)c5ccccc35)C(=O)N(c3ccccc3C(F)(F)F)C4=O)cc2)cc1,polyimide,533.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=533.15; n_points=1; reliability=black
rec_zen_00437,,[*]C(=O)c1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(C(=O)c6ccc(Oc7ccc([*])cc7)cc6)cc5)cc4)nn3-c3ccccc3)cc2)cc1,polyether,463.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=463.15; n_points=1; reliability=black
rec_zen_00445,,[*]C(=O)c1ccc(Oc2ccc(-c3nc(-c4cccc(-c5nc(-c6ccc(Oc7ccc([*])cc7)cc6)c(-c6ccccc6)[nH]5)c4)[nH]c3-c3ccccc3)cc2)cc1,polyether,555.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=555.15; n_points=1; reliability=black
rec_zen_00447,,[*]C(=O)c1ccc(Oc2ccc(-c3nc(-c4ccccc4)[nH]c3-c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc([*])cc6)cc5)cc4)cc3)cc2)cc1,polyether,503.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=503.15; n_points=1; reliability=black
rec_zen_00457,,[*]C(=O)c1ccc(Oc2ccc(C(=O)c3c(C(=O)c4ccc(Oc5ccc([*])cc5)cc4)c(-c4ccccc4)c(-c4ccc5ccccc5c4)c(-c4ccc5ccccc5c4)c3-c3ccccc3)cc2)cc1,polyether,563.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=563.15; n_points=1; reliability=black
rec_zen_00465,,[*]C(=O)c1ccc(Oc2ccc(C(c3ccc(Oc4ccc([*])cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,polyether,448.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=448.15; n_points=1; reliability=black
rec_zen_00468,,[*]C(=O)c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(C([*])=O)cc5)cc4)c4ccccc4-c4ccccc43)cc2)cc1,polyether,515.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=515.15; n_points=1; reliability=black
rec_zen_00469,,[*]C(=O)c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc([*])cc5)cc4)CCC4CCCCC4C3)cc2)cc1,polyether,487.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=487.15; n_points=1; reliability=black
rec_zen_00472,,[*]C(=O)c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc([*])cc5)cc4)c4ccccc4-c4ccccc43)cc2)s1,polyether,468.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=468.15; n_points=1; reliability=black
rec_zen_00473,,[*]C(=O)c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc([*])cc7)cc5)C6=O)cc4C3=O)cc2)cc1,polyimide,526.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=526.15; n_points=1; reliability=black
rec_zen_00476,,[*]C(=O)c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc([*])cc7)cc5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,polyimide,539.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=539.15; n_points=1; reliability=black
rec_zen_00487,,[*]C(=O)c1ccc(Oc2ccc(Oc3ccc([*])cc3S(=O)(=O)O)cc2)c(S(=O)(=O)O)c1,polyether,493.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=493.15; n_points=1; reliability=black
rec_zen_00491,,[*]C(=O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C(=O)c5cc([*])cc(C(C)(C)C)c5)cc4)cc3)cc2)cc1,polyether,471.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=471.15; n_points=1; reliability=black
rec_zen_00496,,[*]C(=O)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc([*])cc7)cc6C5=O)cc4)cc2)C3=O)cc1,polyimide,483.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=483.15; n_points=1; reliability=black
rec_zen_00500,,[*]C(=O)c1ccc(Oc2ccc3cc(Oc4ccc([*])cc4)ccc3c2)cc1,polyether,520.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=520.15; n_points=1; reliability=black
rec_zen_00503,,[*]C(=O)c1ccc(Oc2cccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(c5cccc(Oc7ccc([*])cc7)c5)C6=O)c4C3=O)c2)cc1,other,471.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=Qiu; tg_range=471.15; n_points=1; reliability=black
rec_zen_00509,,[*]C(=O)c1ccc(P(=O)(c2ccccc2)c2ccc(C(=O)c3ccc(Oc4ccc(Oc5ccc([*])cc5)cc4)cc3)cc2)cc1,polyether,480.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=480.15; n_points=1; reliability=black
rec_zen_00511,,[*]C(=O)c1ccc(S(=O)(=O)c2ccc(C(=O)c3ccc([*])cc3)cc2)cc1,other,486.65,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=486.65; n_points=1; reliability=black
rec_zen_00518,,[*]C(=O)c1ccc2c(c1)C(=O)N(CCCCCCN1C(=O)c3ccc([*])cc3C1=O)C2=O,polyimide,400.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=400.15; n_points=1; reliability=black
rec_zen_00534,,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccccc3N3C(=O)c4ccc([*])cc4C3=O)cc1)C2=O,polyimide,578.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=578.15; n_points=1; reliability=black
rec_zen_00535,,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3nc(-c4ccccc4)nc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)n3)cc1)C2=O,polyimide,628.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=628.15; n_points=1; reliability=black
rec_zen_00538,,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3nc4cc(S(=O)(=O)c5ccc6nc(-c7ccccc7)c(-c7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)nc6c5)ccc4nc3-c3ccccc3)cc1)C2=O,polyimide,513.15,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=513.15; n_points=1; reliability=black
rec_zen_00543,,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc(C(=O)c6cccc([*])c6)cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,polyimide,535.65,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=535.65; n_points=1; reliability=black
rec_zen_00544,,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)(C(F)(F)F)C(F)(F)F)cc1)C2=O,polyimide,581.18,K,0.0,unknown,ds_zenodo_lamalab_tg,dataset,10.5281/zenodo.15783761,dataset_download,source=GREA; tg_range=581.18; n_points=1; reliability=black
